Sample_ID,Sample_ID_old,QPCR_Sample_ID,Collect_Site,Frog_ID,Site,Species,Sample_Status,Extract_Plate_ID,Extract_Date,Extract_Lab,Extract_Tech,Extract_Loc,Extract_Well_Pos,Extract_Neg_Cont,Extract_BdPosCont,QPCR_Plate_ID,QPCR_Date,QPCR_File_Name,QPCR_Lab,QPCR_Tech,QPCR_Well_Pos,QPCR_Diluted,QPCR_NegCont,Sample_Quality,Sample_IPC,Sample_Rerun,Sample_Bd,Sample_Bd_CT,Sample_Bd_qty,Sample_Bd_swab_qty,Sample_Bsal,Sample_Bsal_CT,Sample_Bsal_qty,Sample_Bsal_swab_qty,Notes
170129-01-LA06-AMMA,170129-01-CSI-ABMA,17.01.29 CSI 01 Abma,LA,170129-01,,,Complete,DPW_080317_SERDP_5,8/3/17,RZ lab,DPW,Pitt -80,F3,negative,positive,SERDP_06_080417,8/4/17,SERDP_06_080417,RZ lab,DPW,F3,no,negative,pass,pass,no,negative,,,,negative,,,,
170129-01-LA06-AMOP,170129-01-CSI-ABOP,17.01.29 CSI 01 Abop,LA,170129-01,,,Complete,DPW_080317_SERDP_5,8/3/17,RZ lab,DPW,Pitt -80,F6,negative,positive,SERDP_06_080417,8/4/17,SERDP_06_080417,RZ lab,DPW,F6,no,negative,pass,pass,no,negative,,,,negative,,,,
170129-02-LA06-AMMA,170129-02-CSI-ABMA,17.01.29 CSI 02 Abma,LA,170129-02,,,Complete,DPW_080317_SERDP_5,8/3/17,RZ lab,DPW,Pitt -80,F4,negative,positive,SERDP_06_080417,8/4/17,SERDP_06_080417,RZ lab,DPW,F4,no,negative,pass,pass,no,negative,,,,negative,,,,
170129-03-LA06-AMMA,170129-03-CSI-ABMA,17.01.29 CSI 03 Abma,LA,170129-03,,,Complete,DPW_080317_SERDP_5,8/3/17,RZ lab,DPW,Pitt -80,F5,negative,positive,SERDP_06_080417,8/4/17,SERDP_06_080417,RZ lab,DPW,F5,no,negative,pass,pass,no,negative,,,,negative,,,,
170219-01-LA04-ACBL,170219-01-LA,17-2-19-1,LA,170219-01,,,Complete,DPW_080317_SERDP_5,8/3/17,RZ lab,DPW,Pitt -80,B6,negative,positive,SERDP_06_080417,8/4/17,SERDP_06_080417,RZ lab,DPW,B6,no,negative,pass,pass,no,negative,,,,negative,,,,
170304-06-LA05-PSCR,170304-06-LA,17-3-4-6,LA,170304-06,,,Complete,DPW_080317_SERDP_5,8/3/17,RZ lab,DPW,Pitt -80,B7,negative,positive,SERDP_06_080417,8/4/17,SERDP_06_080417,RZ lab,DPW,B7,no,negative,pass,pass,no,negative,,,,negative,,,,
170304-07-LA05-PSCR,170304-07-LA,17-3-4-7,LA,170304-07,,,Complete,DPW_080317_SERDP_5,8/3/17,RZ lab,DPW,Pitt -80,B8,negative,positive,SERDP_06_080417,8/4/17,SERDP_06_080417,RZ lab,DPW,B8,no,negative,pass,pass,no,negative,,,,negative,,,,
170304-08-LA05-PSCR,170304-08-LA,17-3-4-8,LA,170304-08,,,Complete,DPW_080317_SERDP_5,8/3/17,RZ lab,DPW,Pitt -80,B9,negative,positive,SERDP_06_080417,8/4/17,SERDP_06_080417,RZ lab,DPW,B9,no,negative,pass,pass,no,negative,,,,negative,,,,
170304-09-LA05-PSCR,170304-09-LA,17-3-4-9,LA,170304-09,,,Complete,DPW_080317_SERDP_5,8/3/17,RZ lab,DPW,Pitt -80,B10,negative,positive,SERDP_06_080417,8/4/17,SERDP_06_080417,RZ lab,DPW,B10,no,negative,pass,pass,no,negative,,,,negative,,,,
170304-10-LA05-PSCR,170304-10-LA,17-3-4-10,LA,170304-10,,,Complete,DPW_080317_SERDP_5,8/3/17,RZ lab,DPW,Pitt -80,B11,negative,positive,SERDP_06_080417,8/4/17,SERDP_06_080417,RZ lab,DPW,B11,no,negative,pass,pass,no,positive,32.63777924,113.1018143,4524.072571,negative,,,,
170304-11-LA05-PSCR,170304-11-LA,17-3-4-11,LA,170304-11,,,Complete,DPW_080317_SERDP_5,8/3/17,RZ lab,DPW,Pitt -80,B12,negative,positive,SERDP_06_080417,8/4/17,SERDP_06_080417,RZ lab,DPW,B12,no,negative,pass,pass,no,positive,33.80612183,49.86037827,1994.415131,negative,,,,
