Sample_ID,QPCR_Sample_ID,Collect_Site,Frog_ID,Sample_Status,Extract_Plate_ID,Extract_Date,Extract_Lab,Extract_Tech,Extract_Loc,Extract_Well_Pos,Extract_Neg_Cont,Extract_BdPosCont,QPCR_Plate_ID,QPCR_Date,QPCR_File_Name,QPCR_Lab,QPCR_Tech,QPCR_Well_Pos,QPCR_Diluted,QPCR_NegCont,Sample_Quality,Sample_IPC,Sample_Rerun,Sample_Bd,Sample_Bd_CT,Sample_Bd_qty,Sample_Bd_swab_qty,Sample_Bsal,Sample_Bsal_CT,Sample_Bsal_qty,Sample_Bsal_swab_qty,Notes
17.11.06 BZ1 01 ABMA,17.11.06 BZ1 01 ABMA,LA,17.11.06 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,G8,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,G10,no,negative,pass,pass,no,negative,,,,negative,,,,
17.11.06 BZ1 01 ABOP,17.11.06 BZ1 01 ABOP,LA,17.11.06 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,F8,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,F10,no,negative,pass,pass,no,negative,,,,negative,,,,
17.11.08 BZ1 02 ABOP,17.11.08 BZ1 02 ABOP,LA,17.11.08 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,D8,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,D10,no,negative,pass,pass,no,negative,,,,negative,,,,
17.11.08 BZ1 03 ABOP,17.11.08 BZ1 03 ABOP,LA,17.11.08 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,E8,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,E10,no,negative,pass,pass,no,negative,,,,negative,,,,
17.11.30 6M1 01 EUQU,17.11.30 6M1 01 EUQU,LA,17.11.30 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,B8,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,B10,no,negative,pass,pass,no,negative,,,,negative,,,,
17.11.30 6M1 02 ABOP,17.11.30 6M1 02 ABOP,LA,17.11.30 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,C8,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,C10,no,negative,pass,pass,no,negative,,,,negative,,,,
17.12.05 CR01 AMMA,17.12.05 CR01 AMMA,LA,17.12.05 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,B9,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,B11,no,negative,pass,pass,no,negative,,,,negative,,,,
17.12.05 CR01 AMOP,17.12.05 CR01 AMOP,LA,17.12.05 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,A9,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,A11,no,negative,pass,pass,no,negative,,,,negative,,,,
17.12.05 CR01 EUQA,17.12.05 CR01 EUQA,LA,17.12.05 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,H8,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,H10,no,negative,pass,pass,no,negative,,,,negative,,,,
17.12.05 CR02 AMMA,17.12.05 CR02 AMMA,LA,17.12.05 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,D9,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,D11,no,negative,pass,pass,no,negative,,,,negative,,,,
