Sample_ID,Collect_Site,Frog_ID,Sample_Status,Extract_Plate_ID,Extract_Date,Extract_Lab,Extract_Tech,Extract_Loc,Extract_Well_Pos,Extract_Neg_Cont,Extract_BdPosCont,QPCR_Plate_ID,QPCR_Date,QPCR_File_Name,QPCR_Lab,QPCR_Tech,QPCR_Well_Pos,QPCR_Diluted,QPCR_NegCont,Sample_Quality,Sample_IPC,Sample_Rerun,Sample_Bd,Sample_Bd_CT,Sample_Bd_qty,Sample_Bd_swab_qty,Sample_Bsal,Sample_Bsal_CT,Sample_Bsal_qty,Sample_Bsal_swab_qty,Notes
190508-11-LA03-ANFO,LA,190508-11,Complete,109_AHD,2019_08_13,RZlab,AHD,Pitt -80,C2,negative,positive,SERDP_133_091619,2019_09_16,SERDP_133_091619,RZlab,CLN,C7,no,negative,pass,pass,no,negative,,,,negative,,,,A little under 20 ul of master mix (approx 18-19ul) was added to well
190526-01-PA03-ANAM,PA,190526-01,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,H9,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,H9,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190625-11-PA01-LISY,PA,190625-11,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,H8,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,H8,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190626-06-PA03-PSCR,PA,190626-06,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,B6,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,B6,no,negative,pass,pass,no,positive,36.49739075,0.007069492,0.28277969,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190629-36-PA01-LISY,PA,190629-36,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,A9,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,A9,no,negative,pass,pass,no,positive,37.14799118,0.003742181,0.149687231,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190629-37-PA01-LISY,PA,190629-37,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,A10,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,A10,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190629-38-PA01-LISY,PA,190629-38,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,A11,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,A11,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190629-39-PA01-LISY,PA,190629-39,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,A12,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,A12,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-02-PA01-LICL,PA,190711-02,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,B8,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,B8,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-04-PA03-ANAM,PA,190711-04,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,D3,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,D3,no,negative,pass,pass,no,positive,36.61359787,0.006310204,0.252408143,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-07-PA01-LICL,PA,190711-07,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,C1,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,C1,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-08-PA01-LICL,PA,190711-08,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,C2,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,C2,no,negative,pass,pass,no,positive,33.08203506,0.199363396,7.974535823,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-09-PA01-LICL,PA,190711-09,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,C3,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,C3,no,negative,pass,pass,no,positive,36.47653961,0.007215098,0.288603902,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-10-PA01-LISY,PA,190711-10,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,C4,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,C4,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-12-PA01-LISY,PA,190711-12,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,C6,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,C6,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-12-PA03-LIPI,PA,190711-12,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,D8,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,D8,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-13-PA01-LISY,PA,190711-13,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,C7,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,C7,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-14-PA01-LISY,PA,190711-14,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,C8,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,C8,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-15-PA01-LISY,PA,190711-15,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,C9,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,C9,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-16-PA01-LISY,PA,190711-16,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,C10,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,C10,no,negative,pass,pass,no,positive,36.69592667,0.005822161,0.232886449,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-17-PA01-LICL,PA,190711-17,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,C11,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,C11,no,negative,pass,pass,no,positive,24.98403549,547.3768311,21895.07324,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-18-PA01-PSCR,PA,190711-18,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,C12,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,C12,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-19-PA01-ANAM,PA,190711-19,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,D1,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,D1,no,negative,pass,pass,no,positive,30.94058418,1.617954731,64.71818924,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-20-PA01-PLCI,PA,190711-20,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,D2,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,D2,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190711-24-PA03-LIPI,PA,190711-24,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,D9,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,D9,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190716-04-PA03-LIPI,PA,190716-04,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,E9,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,E9,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190716-05-PA01-LICL,PA,190716-05,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,E1,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,E1,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190716-06-PA01-LICL,PA,190716-06,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,E2,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,E2,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190716-06-PA03-LIPI,PA,190716-06,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,E11,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,E11,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190716-07-PA03-LIPI,PA,190716-07,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,H2,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,H2,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
