sample_id,replicate,start_quant,std_type,dilution,bd_load
RKS1988,1,0.55,genomic,1,2640
RKS17000,1,0.99,genomic,1,4752
RKS19795,1,656.1216,genomic,1,3149383.68
DESO1973,1,2.05,genomic,1,9840
RKS19337,1,2.1412,genomic,1,10277.76
YFS173,1,1.5,genomic,1,7200
RKS8733,1,0,genomic,1,0
RKS3797,2,0,genomic,1,0
RKS15522,1,844.83,genomic,1,4055184
RKS4468,1,0.21,genomic,1,1008
RKS9312,1,0.11,genomic,1,528
OAZ1301,1,0,genomic,1,0
RKS8460,1,27.63,genomic,1,132624
RKS6023,2,14.92,genomic,1,71616
RKS1996,1,0,genomic,1,0
RKS051,1,0,genomic,1,0
RKS3132,1,0,genomic,1,0
RKS5326,1,0.06,genomic,1,288
RKS6469,1,7.93,genomic,1,38064
RKS5283,1,0,genomic,1,0
RKS17234,1,0,genomic,1,0
RKS4509,1,24.11,genomic,1,115728
RKS10048,1,47.7,genomic,1,228960
RKS3744,1,0.01,genomic,1,48
RKS8562,1,35.04,genomic,1,168192
RKS12571,1,2.5,genomic,1,12000
RKS13711,1,0,genomic,1,0
RKS18201,1,0,genomic,1,0
DESO1221,1,0,genomic,1,0
RKS20522,1,9.1376,genomic,1,43860.48
RKS5339,1,0.01,genomic,1,48
RKS11233,1,0.25,genomic,1,1200
SFZ1031,1,0,genomic,1,0
RKS1934,1,0.6,genomic,1,2880
RKS5614,1,0,genomic,1,0
RKS15302,1,0,genomic,1,0
DBS039,1,0,genomic,1,0
RKS14465,1,16.4,genomic,1,78720
RKS15647,1,0,genomic,1,0
RKS19412,1,0,genomic,1,0
RKS12142,1,4.84,genomic,1,23232
SFZ2603,1,0,genomic,1,0
RKS030,1,18.3,genomic,1,87840
RKS5852,3,0.19,genomic,1,912
RKS17904,1,9.1544,genomic,1,43941.12
RKS13174,1,65.86,genomic,1,316128
RKS18855,1,0.6528,genomic,1,3133.44
RKS3122,1,0,genomic,1,0
RKS1226,2,0.23,genomic,1,1104
RKS12133,1,5.05,genomic,1,24240
CBSX011,1,485.91,genomic,1,2332368
RKS4371,1,0.01,genomic,1,48
